stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,wheelchair_boarding,stop_timezone,stop_url,parent_station,location_type
1607,1607,PRINCIPE DI SCALEA - VALDESI,,38.1969550029,13.3310235714,1,1,Europe/Rome,,,0
1606,1606,PRINCIPE DI SCALEA - OLEANDRI,,38.1983704529,13.32848975,1,1,Europe/Rome,,,0
808,808,FALSOMIELE - PECORARO,,38.0783498,13.36941317,1,1,Europe/Rome,,,0
803,803,FALCONARA 2,,38.11738423,13.29119805,1,1,Europe/Rome,,,0
802,802,FALCONARA 3,,38.11749012,13.28986964,1,1,Europe/Rome,,,0
801,801,FALCONARA 4,,38.11666277,13.28881935,1,1,Europe/Rome,,,0
807,807,FALSOMIELE - LUCCHICELLI,,38.0789927,13.37170511,1,1,Europe/Rome,,,0
805,805,FALSOMIELE - BARRESI,,38.08004836,13.37283433,1,1,Europe/Rome,,,0
1775,1775,ROTOLI 2,,38.162155,13.370575,1,1,Europe/Rome,,,0
1774,1774,ROTOLI 1,,38.15880667,13.37121667,1,1,Europe/Rome,,,0
1777,1777,ROTOLI 3,,38.16338872,13.36987048,1,1,Europe/Rome,,,0
1776,1776,ROTOLI 3,,38.16389,13.36974333,1,1,Europe/Rome,,,0
1084,1084,MALASPINA - PIAZZA ZIINO,,38.13032013,13.33880246,1,1,Europe/Rome,,,0
1770,1770,ROMA - STABILE,,38.12357833,13.35974667,1,1,Europe/Rome,,,0
1772,1772,ROMA - VUCCIRIA,,38.11702833,13.363385,1,1,Europe/Rome,,,0
1779,1779,ROTOLI 1,,38.15909833,13.37134833,1,1,Europe/Rome,,,0
1778,1778,ROTOLI 2,,38.16161167,13.37072167,1,1,Europe/Rome,,,0
608,608,DE GASPERI - STRASBURGO,,38.14931596,13.33359146,1,1,Europe/Rome,,,0
1159,1159,MESSINA MARINE - RAVENNA,,38.10091,13.40008833,1,1,Europe/Rome,,,0
1158,1158,MESSINA MARINE - PIAZZETTA SPERONE,,38.09954833,13.40443333,1,1,Europe/Rome,,,0
1155,1155,MESSINA MARINE - LI GOTTI,,38.09690667,13.4214,1,1,Europe/Rome,,,0
1154,1154,MESSINA MARINE - LAUDICINA,,38.09791833,13.412975,1,1,Europe/Rome,,,0
1157,1157,MESSINA MARINE - PALUMBO,,38.101255,13.399435,1,1,Europe/Rome,,,0
1156,1156,MESSINA MARINE - PALUMBO,,38.1016,13.39823667,1,1,Europe/Rome,,,0
1151,1151,MESSINA MARINE - FIUME ORETO,,38.109285855,13.3798404283,1,1,Europe/Rome,,,0
1150,1150,MESSINA MARINE - DIAZ,,38.1031989467,13.39377572,1,1,Europe/Rome,,,0
1153,1153,MESSINA MARINE - BERTETT,,38.09774667,13.41451,1,1,Europe/Rome,,,0
1152,1152,MESSINA MARINE - LAUDICINA,,38.09786,13.41288167,1,1,Europe/Rome,,,0
59,59,ALTOFONTE - CALVARUSO,,38.0656616,13.32532704,1,1,Europe/Rome,,,0
58,58,ALTOFONTE - CALVARUSO,,38.06583167,13.325275,1,1,Europe/Rome,,,0
1551,1551,PITRE' - CAMARDA,,38.11048589,13.33373102,1,1,Europe/Rome,,,0
1550,1550,PITRE' - CAMARDA,,38.11040044,13.33632141,1,1,Europe/Rome,,,0
1552,1552,PITRE' - GENERALE SALEMI,,38.11043167,13.334105,1,1,Europe/Rome,,,0
1555,1555,PITRE' - MADONNA DEL SOCCORSO,,38.11053333,13.3244,1,1,Europe/Rome,,,0
1554,1554,PITRE' - MADONNA DEL SOCCORSO,,38.11055,13.325425,1,1,Europe/Rome,,,0
1557,1557,PITRE' - PALCHETTO,,38.110515,13.33142667,1,1,Europe/Rome,,,0
1556,1556,PITRE' - PALCHETTO,,38.11048167,13.33153667,1,1,Europe/Rome,,,0
1559,1559,PITRE' - PINDEMONTE,,38.11057167,13.33946333,1,1,Europe/Rome,,,0
54,54,ALOI 1,,38.07652029,13.35521221,1,1,Europe/Rome,,,0
56,56,ALOI 3,,38.0841315,13.35293368,1,1,Europe/Rome,,,0
51,51,ALOI - GRAFFEO,,38.08118845,13.35385501,1,1,Europe/Rome,,,0
50,50,ALOI - FALSOMIELE,,38.07499511,13.35562812,1,1,Europe/Rome,,,0
53,53,ALOI - VITALE,,38.08274866,13.35336417,1,1,Europe/Rome,,,0
537,537,CRISTOFORO COLOMBO - MARCANTONIO COLONNA,,38.18262833,13.36467,1,1,Europe/Rome,,,0
536,536,CRISTOFORO COLOMBO - MAGELLANO,,38.18979333,13.35899667,1,1,Europe/Rome,,,0
535,535,CRISTOFORO COLOMBO - MAGELLANO,,38.18975143,13.35892171,1,1,Europe/Rome,,,0
534,534,CRISTOFORO COLOMBO - LORENZO MARQUES,,38.18868,13.35099333,1,1,Europe/Rome,,,0
533,533,CRISTOFORO COLOMBO - LORENZO MARQUES,,38.18861,13.35134667,1,1,Europe/Rome,,,0
532,532,CRISTOFORO COLOMBO - DE VEGA,,38.18669668,13.36086094,1,1,Europe/Rome,,,0
531,531,CRISTOFORO COLOMBO - DE VEGA,,38.186645,13.36081667,1,1,Europe/Rome,,,0
1558,1558,PITRE' - PIAZZA MICCA,,38.10923167,13.30977833,1,1,Europe/Rome,,,0
539,539,CRISTOFORO COLOMBO - PIETRO DE GUEVARA,,38.18883333,13.34874333,1,1,Europe/Rome,,,0
538,538,CRISTOFORO COLOMBO - MARCANTONIO COLONNA,,38.18266667,13.364725,1,1,Europe/Rome,,,0
429,429,CIACULLI - CARRUBELLA,,38.08404599,13.39510337,1,1,Europe/Rome,,,0
428,428,CIACULLI - BOZZO,,38.07874884,13.4013623,1,1,Europe/Rome,,,0
1399,1399,PARTANNA MONDELLO - IANDOLINO,,38.19600333,13.30816667,1,1,Europe/Rome,,,0
1398,1398,PARTANNA MONDELLO - DIONISO,,38.19612927,13.3082618,1,1,Europe/Rome,,,0
421,421,CHIAVELLI - SEMILIA,,38.08336197,13.36816862,1,1,Europe/Rome,,,0
420,420,CHIAVELLI - SCIACCA,,38.08528947,13.36854413,1,1,Europe/Rome,,,0
1395,1395,PARTANNA MONDELLO - CHIMERA,,38.19445005,13.30477755,1,1,Europe/Rome,,,0
1393,1393,PARTANNA MONDELLO - AMARILLI,,38.19538413,13.3064121,1,1,Europe/Rome,,,0
1392,1392,PARLAVECCHIO - TRICOMI,,38.10093167,13.36022167,1,1,Europe/Rome,,,0
427,427,CIACULLI - BOZZO,,38.07879667,13.40122667,1,1,Europe/Rome,,,0
426,426,CHIRONE - PORTA DI MARE,,38.19363133,13.31436753,1,1,Europe/Rome,,,0
530,530,CRISTOFORO COLOMBO - CARONIA ROBERTI,,38.19116,13.344096665,1,1,Europe/Rome,,,0
1503,1503,PIAZZA TOMMASO NATALE - STAZIONE FS,,38.18965578,13.28622711,1,1,Europe/Rome,,,0
2183,2183,VITTORIO EMANUELE - ISTITUTO NAUTICO,,38.11939451,13.37064967,1,1,Europe/Rome,,,0
2182,2182,VITTORIO EMANUELE - FONTANA DEL GARRAFFO,,38.11805877,13.36724594,1,1,Europe/Rome,,,0
2181,2181,VITTORIO EMANUELE - EUROPA,,38.08037,13.43633833,1,1,Europe/Rome,,,0
2180,2180,VITTORIO EMANUELE - DE GASPERI,,38.07639,13.44668167,1,1,Europe/Rome,,,0
2186,2186,VITTORIO EMANUELE - PORTA NUOVA,,38.11223227,13.35298732,1,1,Europe/Rome,,,0
229,229,BONANNO 5,,38.16003234,13.34979147,1,1,Europe/Rome,,,0
2184,2184,VITTORIO EMANUELE - ISTITUTO NAUTICO,,38.1193597,13.37041497,1,1,Europe/Rome,,,0
227,227,BONANNO 3,,38.15481768,13.36643994,1,1,Europe/Rome,,,0
226,226,BONANNO 2,,38.15042421,13.36671889,1,1,Europe/Rome,,,0
2189,2189,VITTORIO EMANUELE - S. MARIA DELLA CATENA,,38.11874036,13.36904839,1,1,Europe/Rome,,,0
2188,2188,VITTORIO EMANUELE - QUATTRO CANTI,,38.11622498,13.36270094,1,1,Europe/Rome,,,0
223,223,BONANNO - MEZZ'ARANCIO,,38.15419112,13.36142134,1,1,Europe/Rome,,,0
222,222,BONANNO - MEZZ'ARANCIO,,38.15427141,13.36090118,1,1,Europe/Rome,,,0
221,221,BONANNO - FORESTALE,,38.14922221,13.36002617,1,1,Europe/Rome,,,0
220,220,BONANNO - FORESTALE,,38.14981674,13.36254805,1,1,Europe/Rome,,,0
2211,2211,ZONA INDUSTRIALE - NENNI,,38.15193174,13.32282863,1,1,Europe/Rome,,,0
2217,2217,ALLORO - ABATELLIS,,38.116495,13.370525,1,1,Europe/Rome,,,0
2216,2216,FONTANA DEL DRAGO - PALERMO,,38.08516145,13.2946122,1,1,Europe/Rome,,,0
2214,2214,ZUMBO,,38.13561667,13.30609333,1,1,Europe/Rome,,,0
